歌曲id,歌曲名字,演唱者,歌曲信息URL,歌曲下载URL地址
414979047,Lions In The Wild (Original Mix),Martin Garrix/Third Party,http://music.163.com/song?id=414979047,http://m2.music.126.net/IuRhKTm0HKKVXQAjpqyGVg==/3442570908367239.mp3
414706223,GIRAFFE BLUES（超时空要塞Δ 插曲）,Kyle Xian,http://music.163.com/song?id=414706223,http://m2.music.126.net/FBsna5HQ-S-QR99fNUgFYw==/2946691166386657.mp3
414979058,All In My Head (Flex),Fifth Harmony/Fetty Wap（5th Harmony，5H）,http://music.163.com/song?id=414979058,http://m2.music.126.net/qAshntQrS6Nks2iuOfO0Lw==/3265549539078068.mp3
414979184,Bloodshot (SRNO Remix),SRNO/Lexy Panterra,http://music.163.com/song?id=414979184,http://m2.music.126.net/s8YJw-tsbWV22ossuGngjw==/3420580679740649.mp3
414586240,河上的和尚（Monk of The River）,小老虎,http://music.163.com/song?id=414586240,http://m2.music.126.net/mgJDmTSQ0MQJvMbh6F-ekQ==/3412884095360132.mp3
414980186,封锁线(粤语版),刘莉F,http://music.163.com/song?id=414980186,http://m2.music.126.net/hHyFKroyYIxe1qFMj6Bu5A==/3251255885732376.mp3
414980060,I Lied,Fifth Harmony（5th Harmony，5H）,http://music.163.com/song?id=414980060,http://m2.music.126.net/K_RXp2Oe79tsdLKuWuLRgQ==/3445869443273557.mp3
414586299,五月的你（“真情互动”校园义卖助学项目主题曲）,好妹妹乐队,http://music.163.com/song?id=414586299,http://m2.music.126.net/3lg93jswy-WlT-fzFl42ww==/3250156373841531.mp3
414979136,Mistake,Drug Restaurant（JJY BAND）,http://music.163.com/song?id=414979136,http://m2.music.126.net/H5jx9CSwVP0MxsFgvlWhvQ==/3393092886029608.mp3
461011,恋爱サ┼キュレ┼ション,花上悴耍à悉胜钉 かな，Hanazawa Kana）,http://music.163.com/song?id=461011,http://m2.music.126.net/iin1asgD2xSxP8wDlR2Ehg==/3264450032193595.mp3
414980119,???（好奇）,Urban Zakapa,http://music.163.com/song?id=414980119,http://m2.music.126.net/70UtRwbW3WEVBC_rieWK4Q==/1424967080751651.mp3
414980049,Thinking About You (Original Mix),Axwell Λ Ingrosso,http://music.163.com/song?id=414980049,http://m2.music.126.net/mn5DwE7dOY8bZkimGFE26g==/3394192397596359.mp3
